ClusterID	Naam	Centrum	Gebruiker	ChangeDate	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
124	Regio Beerse	MEA	MEAEVE	2010-07-05 10:37:08	2340	2275	2290	0	0	0	0	0	0	0
125	Regio Hoogstraten	MEA	MEAEVE	2010-07-05 10:38:18	2320	2330	2387	2310	0	0	0	0	0	0
126	Regio Herselt	MEA	MEAEVE	2010-07-07 15:35:10	2230	2235	0	0	0	0	0	0	0	0
127	Kempen	MEA	MEAEVE	2010-07-05 11:09:51	2300	2440	2400	2200	2230	2320	2370	2340	0	0
128	Regio Dendermonde	CAT	CATANS	2010-07-05 13:54:32	9200	9280	9255	9220	9250	0	0	0	0	0
129	JES	PRI	PRIAFR	2010-07-15 14:42:14	1000	9000	2000	0	0	0	0	0	0	0
130	Halle en rand	AHA	AHAADI	2010-08-04 16:20:09	1500	1650	1640	0	0	0	0	0	0	0
131	Brussel-Halle	PRI	PRIVDA	2010-08-11 17:50:40	1500	1800	1850	1000	0	0	0	0	0	0
132	Pajottenland	REG	REGNIG	2010-09-28 14:33:51	1500	1650	0	0	0	0	0	0	0	0
133	Zorgregio Kortrijk	LAR	LARKHA	2010-11-25 12:20:47	8500	8520	8790	8530	8860	8540	0	0	0	0
134	Politiezone WOKRA	HAV	HAVADS	2011-08-31 16:05:30	1950	1970	0	0	0	0	0	0	0	0
135	Regio Aalst	DEL	DELTDB	2010-12-15 16:07:28	0	0	0	0	0	0	0	0	0	0
136	Regio Dendermonde	DEL	DELTDB	2010-12-15 16:07:42	0	0	0	0	0	0	0	0	0	0
137	Kempen	GEE	GEETCO	2010-12-28 11:08:24	2440	2400	2200	2300	0	0	0	0	0	0
138	Regio LOGO Waasland	DEL	DELCDE	2011-01-03 11:53:50	0	0	0	0	0	0	0	0	0	0
139	ALLeRT	AHA	AHALDR	2011-01-25 15:13:36	1790	1770	1750	1760	1740	0	0	0	0	0
141	Faciliteitengemeenten	HAV	HAVADS	2011-05-03 13:35:20	1620	1630	1950	1780	1970	0	0	0	0	0
142	Politiezone Rode	HAV	HAVADS	2011-05-03 13:53:26	1640	1630	1620	0	0	0	0	0	0	0
143	TARL	AHA	AHALDR	2011-05-16 16:45:49	1740	1790	1760	1770	0	0	0	0	0	0
144	Voorkempen	ALT	ALTJDS	2011-05-25 12:21:08	2960	2990	0	0	0	0	0	0	0	0
145	Logo regio dender	DEL	DELTDB	2011-06-27 14:13:29	0	0	0	0	0	0	0	0	0	0
146	logo regio gezond plus	DEL	DELTDB	2011-06-27 14:13:43	0	0	0	0	0	0	0	0	0	0
147	Politiezone ARRO Ieper	LAR	LARKHA	2011-07-19 12:00:42	8900	8950	8920	8957	8890	8970	8840	8640	8940	8980
148	regio leieland	LAR	LARTHU	2011-07-20 09:20:11	8570	8720	8540	8530	8500	8520	8930	8587	8790	8940
149	gerechtelijk arrondisement Ieper	LAR	LARKHA	2011-07-20 09:38:11	8900	8940	8950	8957	8970	8630	8600	8650	8670	8620
150	regio welzijnsraad Ieper	LAR	LARKHA	2011-07-20 10:20:55	8900	8950	8940	8970	8640	8957	8920	8980	0	0
151	regio logo midden-west-vlaanderen	LAR	LARKHA	2011-07-20 12:01:08	8850	8600	8950	8650	8830	8900	8770	8870	8610	8860
152	Regio CLB GO Tielt	LAR	LARKHA	2011-07-20 14:18:16	8700	8790	9800	9900	9840	0	0	0	0	0
153	Regio LOP Hamme	DEL	DELCDE	2011-07-22 12:16:03	0	0	0	0	0	0	0	0	0	0
154	Centrumsteden	ROE	ROEEVA	2011-07-27 14:15:06	8800	8000	8500	8400	0	0	0	0	0	0
155	MSOC	ROE	ROEEVA	2011-07-27 14:54:01	8800	8400	8500	0	0	0	0	0	0	0
156	CLUSTER_ONE1	JEF	JEFWAU	2011-08-30 12:01:13	2630	3570	0	0	8000	0	0	0	0	0
157	Politiezone AMOW	HAV	HAVADS	2011-08-31 16:05:09	1730	1785	1745	1780	0	0	0	0	0	0
